Experiment, Condition, DyadID, ParticipantID,Phase,Meaning,InputSentence,RT,MeaningSelection,OutputSentence,CorrectedOutput,Grammatical,GrammaticalityJudgment,Timestamp
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,4.86,correct,NA,NA,NA,NA,Wed Jun 29 10:08:40 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:08:42 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:08:46 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:08:51 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:08:55 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:00 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:04 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:09 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:13 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:18 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:23 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:27 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:32 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:37 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:42 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:09:46 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kospu,1.16,correct,NA,NA,NA,NA,Wed Jun 29 10:09:55 2016
